City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,pangkalanbuun,-2.6833,111.6167,24.370000000000005,98,100,1.1,ID,1686611565
303,ghat,24.9647,10.1728,32.31,15,7,1.26,LY,1686611565
304,la ronge,55.1001,-105.2842,22.269999999999982,40,100,3.6,CA,1686611566
305,selfoss,63.9331,-20.9971,7.949999999999989,77,68,2.9,IS,1686611566
306,bom jesus,-9.0744,-44.3586,29.389999999999986,37,42,2.74,BR,1686611567
307,wladyslawowo,54.7909,18.4009,15.610000000000014,72,99,5.27,PL,1686611568
308,lorengau,-2.0226,147.2712,29.069999999999993,79,16,4.86,PG,1686611570
309,beyneu,45.3167,55.2,26.220000000000027,18,83,4.07,KZ,1686611570
310,la tijera,19.9,-104.4,28.389999999999986,38,15,4.71,MX,1686611571
311,kharakvasla,18.4333,73.7667,24.45999999999998,81,71,3.73,IN,1686611571
312,shalazhi,43.0978,45.3608,20.79000000000002,82,82,2.3,RU,1686611572
313,guichon,-32.35,-57.2,5.079999999999984,55,2,2.65,UY,1686611572
314,nar'yan-mar,67.6713,53.087,6.779999999999973,90,68,5.01,RU,1686611573
315,sainte-anne-des-monts,49.124,-66.4924,15.079999999999984,72,1,4.12,CA,1686611573
316,praia da vitoria,38.7333,-27.0667,21.29000000000002,88,20,2.29,PT,1686611574
317,tadmur,34.5608,38.2805,23.00999999999999,36,0,5.02,SY,1686611574
318,bejaia,36.7559,5.0843,23.54000000000002,75,100,4.07,DZ,1686611527
319,rasra,25.85,83.85,33.56999999999999,45,42,2.74,IN,1686611280
320,sidney,-33.8679,151.2073,15.860000000000014,80,0,2.57,AU,1686611364
321,agapovka,53.2973,59.1348,9.70999999999998,83,100,4.56,RU,1686611576
322,kolonia town,6.964,158.206,30.149999999999977,74,100,5.14,FM,1686611577
323,zelenoborskiy,66.845,32.3622,13.430000000000007,57,100,7.1,RU,1686611577
324,kivioli,59.3531,26.9711,10.829999999999984,59,5,2.48,EE,1686611578
325,cuito,-12.3833,16.9333,13.350000000000023,45,3,1.74,AO,1686611578
326,kill devil hills,36.0307,-75.676,26.149999999999977,92,75,7.72,US,1686611579
327,nguigmi,14.2495,13.1092,30.139999999999986,56,0,3.41,NE,1686611580
328,mana,5.6592,-53.7767,26.24000000000001,89,83,4.2,GF,1686611580
329,nova sintra,14.8667,-24.7167,21.939999999999998,83,63,6.76,CV,1686611581
330,vanimo,-2.6741,141.3028,25.779999999999973,88,100,2.35,PG,1686611581
